responseId,startTime,endTime,testType,activityPoints,dfs01,dfs02,dfs03,dfs04,dfs05,dfs06,dfs07,dfs08,dfs09,dfsPreMean,motivationPos01,motivationPos02,motivationPos03*,motivationPos04,motivationPos05,motivationPos06,motivationPos07*,motivationPos08,motivationPos09,motivationPos10,motivationPos11,motivationPos12*,motivationPos13,motivationPos14,motivationPos15*,motivationPos16,motivationPos17,motivationPos18,motivationPos19*,motivationPos20,motivationPos21,motivationPos22*,motivationPos23,motivationPos24,motivationPos25,motivationPos26*,motivationPos27,motivationPos28,motivationPos29*,motivationPos30,motivationPos31*,motivationPos32,motivationPos33,motivationPos34*,motivationPos35,motivationPos36,attention,relevance,confidence,satisfaction,motivationPostSum,fss01,fss02,fss03,fss04,fss05,fss06,fss07,fss08,fss09,flowPosMean,gender,condition,age,ethnicity,city,civilState,universityEducation,institucion,educationLevel,conclusion
7b2dc670-9ca0-11eb-8bc5-d17adb29b9cd,1618348844152,1618349763882,stMale,13,2,2,4,3,1,1,2,5,5,"2,777777778",5,4,5,2,5,5,3,5,5,5,3,5,5,3,5,5,5,3,5,5,5,3,5,4,3,5,5,5,5,5,5,5,2,3,5,5,90,40,36,28,158,5,5,5,5,4,5,5,5,5,"4,888888889",Mulher,inThreat,20,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2023
e3e847c0-9cb0-11eb-8bc5-d17adb29b9cd,1618356219255,1618356780045,stFemale,15,3,2,3,3,4,2,3,4,4,"3,111111111",5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,1,3,5,5,5,4,2,4,5,4,4,5,4,5,5,5,5,5,5,83,39,40,28,163,5,3,5,4,5,5,5,4,5,"4,555555556",Mulher,inBoost,36,Branco,Rio Claro,Casado(a),Não,,Graduação,
7a3aaeb0-9cb2-11eb-8bc5-d17adb29b9cd,1618356509961,1618357408981,stFemale,16,4,2,4,3,3,4,4,5,5,"3,777777778",5,5,3,3,4,5,1,5,5,4,5,5,5,5,5,5,4,3,2,5,5,4,5,5,5,4,1,5,1,2,1,4,3,2,4,5,80,36,30,24,140,4,2,4,4,5,5,4,4,4,4,Homem,inThreat,20,Pardo,Maceió,Solteiro(a),Sim,Universidade Federal do Ceará,Graduação,2022
ed3b00a0-9cb6-11eb-8bc5-d17adb29b9cd,1618358342240,1618359398506,default,18,4,3,4,3,4,2,5,3,3,"3,444444444",3,2,2,4,4,3,4,3,1,3,2,4,3,3,3,2,4,2,3,3,4,4,3,2,3,5,1,3,5,1,5,4,3,4,2,4,53,23,28,20,111,5,5,3,4,4,4,3,4,5,"4,111111111",Homem,control,54,Pardo,Alfenas/MG,Casado(a),Sim,UFOP,Mestrado,2021
2bb0c520-9cb9-11eb-8bc5-d17adb29b9cd,1618359441908,1618360079321,default,9,4,2,5,4,4,4,4,4,4,"3,888888889",5,5,5,5,5,5,3,5,5,5,5,4,5,4,5,4,5,4,1,4,5,4,5,3,4,5,5,5,5,3,5,5,5,4,5,5,84,41,37,29,162,5,5,4,4,2,5,5,4,5,"4,333333333",Mulher,control,41,Branco,São Paulo,Casado(a),Não,,,
608ef660-9cf3-11eb-8bc5-d17adb29b9cd,1618383995631,1618385113460,default,15,3,2,5,5,5,3,5,5,3,4,1,1,3,3,3,4,4,3,3,3,3,2,3,3,4,3,3,4,2,3,3,2,3,2,1,5,1,3,5,4,5,3,3,4,1,3,49,32,22,16,106,3,5,3,3,4,4,4,3,4,"3,666666667",Homem,control,22,Prefiro não Responder,Marechal Deodoro,Solteiro(a),Sim,UFAL,Outros,2025
e4d5a7d0-9d1a-11eb-8bc5-d17adb29b9cd,1618401080959,1618401893919,stMale,17,4,2,4,4,3,3,4,4,3,"3,444444444",5,4,3,4,5,3,4,5,2,5,3,5,3,2,5,5,5,2,5,4,5,4,4,2,5,4,5,5,5,2,5,5,4,5,5,5,73,31,39,27,149,5,4,5,5,3,4,4,5,4,"4,333333333",Mulher,inThreat,25,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2023
ec8f4920-9d2b-11eb-8bc5-d17adb29b9cd,1618408919631,1618409756813,stMale,16,2,2,3,3,3,3,3,2,2,"2,555555556",5,5,5,4,4,2,5,4,2,4,2,5,4,5,5,2,4,2,5,,4,5,1,3,4,,5,4,5,2,5,4,3,5,4,4,73,18,41,26,132,5,3,2,2,2,3,2,4,4,3,Mulher,inThreat,43,Pardo,Resende,Solteiro(a),Sim,PUC-Rio,Mestrado,2013
09c56ba0-9d36-11eb-8bc5-d17adb29b9cd,1618412705134,1618413979645,default,16,4,2,4,4,4,3,4,4,3,"3,555555556",4,4,3,3,4,4,4,4,3,4,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,3,4,4,76,34,33,24,142,4,4,3,2,4,4,3,3,4,"3,444444444",Homem,control,26,Negro,Maceió,Solteiro(a),Sim,UFAL,Graduação,2022
2c6e0b20-9d3c-11eb-8bc5-d17adb29b9cd,1618416005893,1618416636719,stMale,15,4,3,5,5,4,4,5,5,3,"4,222222222",5,4,5,5,3,1,1,3,3,3,3,5,3,1,3,1,3,4,5,1,1,2,3,1,5,1,1,1,3,1,4,3,1,1,3,3,63,18,33,12,96,5,5,5,5,3,5,5,3,4,"4,444444444",Homem,inBoost,22,Branco,Maceió,Solteiro(a),Sim,UFAL,Graduação,2023
